scientific_name	common_name	genomic_range	location	transcript_accession	transcript_length	transcript_cds_coords	protein_accession	protein_length
Cygnus olor	mute swan	NC_049188.1:7901317-7933174	chr 20	XM_040532765.1	6837	XM_040532765.1:2794-6147	XP_040388699.1	1117
Cygnus olor	mute swan	NC_049188.1:7901317-7933174	chr 20	XM_040532764.1	5483	XM_040532764.1:1440-4793	XP_040388698.1	1117
Cygnus olor	mute swan	NC_049188.1:7901317-7933174	chr 20	XM_040532766.1	6444	XM_040532766.1:2401-5754	XP_040388700.1	1117
Cygnus olor	mute swan	NC_049188.1:7901317-7933174	chr 20	XM_040532767.1	4134	XM_040532767.1:121-3444	XP_040388701.1	1107
Ochotona curzoniae	black-lipped pika	NW_024467094.1:10165129-10215287	chr Un	XM_041001370.1	3984	XM_041001370.1:76-3555	XP_040857304.1	1159
Microtus oregoni	creeping vole	NW_024543074.1:25508914-25567957	chr Un	XM_041665713.1	3849	XM_041665713.1:23-3523	XP_041521647.1	1166
Vulpes lagopus	Arctic fox	NC_054835.1:13782184-13856478	chr 12	XM_041724845.1	3725	XM_041724845.1:63-3479	XP_041580779.1	1138
Vulpes lagopus	Arctic fox	NC_054835.1:13782184-13856478	chr 12	XM_041724842.1	3813	XM_041724842.1:63-3575	XP_041580776.1	1170
Vulpes lagopus	Arctic fox	NC_054835.1:13782184-13856478	chr 12	XM_041724843.1	3798	XM_041724843.1:63-3572	XP_041580777.1	1169
Vulpes lagopus	Arctic fox	NC_054835.1:13782184-13856478	chr 12	XM_041724847.1	3693	XM_041724847.1:63-3467	XP_041580781.1	1134
Vulpes lagopus	Arctic fox	NC_054835.1:13782184-13856478	chr 12	XM_041724846.1	3702	XM_041724846.1:63-3476	XP_041580780.1	1137
Vulpes lagopus	Arctic fox	NC_054835.1:13782184-13856478	chr 12	XM_041724844.1	3842	XM_041724844.1:94-3603	XP_041580778.1	1169
Sceloporus undulatus	fence lizard	NC_056532.1:7106343-7141944	chr 11	XM_042442597.1	2620	XM_042442597.1:1-2142	XP_042298531.1	713
Dipodomys spectabilis	banner-tailed kangaroo rat	NW_024870927.1:564864-625390	chr Un	XM_042699456.1	3694	XM_042699456.1:1-3480	XP_042555390.1	1159
Panthera leo	lion	NC_056692.1:13210625-13276041	chr E1	XR_006196291.1	5691			
Panthera leo	lion	NC_056692.1:13210625-13276041	chr E1	XR_006196292.1	3679			
Panthera leo	lion	NC_056692.1:13210625-13276041	chr E1	XM_042914516.1	5480	XM_042914516.1:368-3910	XP_042770450.1	1180
Panthera leo	lion	NC_056692.1:13210625-13276041	chr E1	XM_042914519.1	5375	XM_042914519.1:368-3805	XP_042770453.1	1145
Panthera leo	lion	NC_056692.1:13210625-13276041	chr E1	XM_042914521.1	3843	XM_042914521.1:368-3763	XP_042770455.1	1131
Panthera leo	lion	NC_056692.1:13210625-13276041	chr E1	XM_042914520.1	5338	XM_042914520.1:367-3768	XP_042770454.1	1133
Panthera leo	lion	NC_056692.1:13210625-13276041	chr E1	XM_042914518.1	5425	XM_042914518.1:367-3855	XP_042770452.1	1162
Cervus canadensis		NC_057386.1:35995905-36046700	chr 1	XM_043477684.1	3838	XM_043477684.1:70-3603	XP_043333619.1	1177
Prionailurus bengalensis	leopard cat	NC_057347.1:13232662-13305522	chr E1	XM_043583380.1	3996	XM_043583380.1:1-3546	XP_043439315.1	1181
Cervus elaphus	red deer	NC_057819.1:97040118-97090973	chr 5	XM_043903418.1	3838	XM_043903418.1:70-3603	XP_043759353.1	1177
Dromiciops gliroides	monito del monte	NC_057863.1:1137232-1180589	chr 3	XM_043990609.1	5250	XM_043990609.1:214-3756	XP_043846544.1	1180
Protopterus annectens	West African lungfish	NC_056747.1:647378609-648576839	chr 13.part0	XM_044054873.1	4493	XM_044054873.1:126-4493	XP_043910808.1	1455
Neogale vison	American mink	NC_058095.1:67113153-67176356	chr 5	XM_044249231.1	4340	XM_044249231.1:627-4130	XP_044105166.1	1167
Bufo gargarizans	Asiatic toad	NC_058082.1:475895405-476045938	chr 3	XM_044283743.1	6322	XM_044283743.1:70-3639	XP_044139678.1	1189
Varanus komodoensis	Komodo dragon	NW_025335587.1:19984219-20011051	chr Un	XM_044430405.1	3393	XM_044430405.1:1-2910	XP_044286340.1	969
Gracilinanus agilis	Agile Gracile Mouse Opossum	NC_058132.1:639581603-639608754	chr 3	XM_044669479.1	4595	XM_044669479.1:1-4590	XP_044525414.1	1529
Mauremys mutica	yellowpond turtle	NC_059090.1:23358673-23409932	chr 19	XM_044994223.1	9012	XM_044994223.1:1-4122	XP_044850158.1	1373
Leopardus geoffroyi	Geoffroy's cat	NC_059330.1:13193450-13266709	chr E1	XM_045487684.1	3620	XM_045487684.1:62-3589	XP_045343640.1	1175
Leopardus geoffroyi	Geoffroy's cat	NC_059330.1:13193450-13266709	chr E1	XM_045487680.1	3858	XM_045487680.1:62-3622	XP_045343636.1	1186
Leopardus geoffroyi	Geoffroy's cat	NC_059330.1:13193450-13266709	chr E1	XM_045487688.1	3753	XM_045487688.1:62-3517	XP_045343644.1	1151
Leopardus geoffroyi	Geoffroy's cat	NC_059330.1:13193450-13266709	chr E1	XM_045487687.1	3762	XM_045487687.1:62-3526	XP_045343643.1	1154
Leopardus geoffroyi	Geoffroy's cat	NC_059330.1:13193450-13266709	chr E1	XM_045487689.1	3666	XM_045487689.1:62-3430	XP_045343645.1	1122
Leopardus geoffroyi	Geoffroy's cat	NC_059330.1:13193450-13266709	chr E1	XM_045487685.1	3804	XM_045487685.1:62-3568	XP_045343641.1	1168
Leopardus geoffroyi	Geoffroy's cat	NC_059330.1:13193450-13266709	chr E1	XM_045487683.1	3843	XM_045487683.1:62-3607	XP_045343639.1	1181
Leopardus geoffroyi	Geoffroy's cat	NC_059330.1:13193450-13266709	chr E1	XM_045487686.1	3789	XM_045487686.1:62-3553	XP_045343642.1	1163
Leopardus geoffroyi	Geoffroy's cat	NC_059330.1:13193450-13266709	chr E1	XM_045487682.1	4292	XM_045487682.1:499-4056	XP_045343638.1	1185
Leopardus geoffroyi	Geoffroy's cat	NC_059330.1:13193450-13266709	chr E1	XM_045487690.1	3556	XM_045487690.1:108-3320	XP_045343646.1	1070
Lemur catta	Ring-tailed lemur	NC_059142.1:14991765-15048712	chr 15	XM_045526069.1	3130	XM_045526069.1:78-3032	XP_045382025.1	984
Lemur catta	Ring-tailed lemur	NC_059142.1:14991765-15048712	chr 15	XM_045526070.1	3052	XM_045526070.1:78-2954	XP_045382026.1	958
Lemur catta	Ring-tailed lemur	NC_059142.1:14991765-15048712	chr 15	XM_045526066.1	3810	XM_045526066.1:66-3581	XP_045382022.1	1171
Lemur catta	Ring-tailed lemur	NC_059142.1:14991765-15048712	chr 15	XM_045526067.1	3732	XM_045526067.1:66-3503	XP_045382023.1	1145
Lemur catta	Ring-tailed lemur	NC_059142.1:14991765-15048712	chr 15	XM_045526068.1	3584	XM_045526068.1:65-3355	XP_045382024.1	1096
Lemur catta	Ring-tailed lemur	NC_059142.1:14991765-15048712	chr 15	XM_045526071.1	3134	XM_045526071.1:74-2905	XP_045382027.1	943
Phyllostomus hastatus	greater spear-nosed bat	NW_025334035.1:424158-483259	chr Un	XM_045824628.1	3842	XM_045824628.1:122-3688	XP_045680584.1	1188
Mirounga angustirostris	Northern elephant seal	NC_072364.1:43043346-43105828	chr 9	XM_045889673.2	3763	XM_045889673.2:49-3549	XP_045745629.1	1166
Meles meles	Eurasian badger	NC_060083.1:17076502-17139350	chr 18	XR_006815966.1	3894			
Meles meles	Eurasian badger	NC_060083.1:17076502-17139350	chr 18	XM_045985851.1	3856	XM_045985851.1:147-3647	XP_045841807.1	1166
Meles meles	Eurasian badger	NC_060083.1:17076502-17139350	chr 18	XM_045985853.1	3561	XM_045985853.1:152-3418	XP_045841809.1	1088
Marmota monax	woodchuck	NW_026692767.1:138556-205145	chr Un	XM_046447045.2	3881	XM_046447045.2:84-3599	XP_046303001.1	1171
Marmota monax	woodchuck	NW_026692767.1:138556-205145	chr Un	XM_046447046.2	5837	XM_046447046.2:2061-5555	XP_046303002.1	1164
Marmota monax	woodchuck	NW_026692767.1:138556-205145	chr Un	XM_046447047.2	3341	XM_046447047.2:237-3059	XP_046303003.1	940
Equus quagga		NC_060277.1:69579058-69632961	chr 11	XM_046677851.1	3496	XM_046677851.1:73-3426	XP_046533807.1	1117
Equus quagga		NC_060277.1:69579058-69632961	chr 11	XM_046677852.1	3433	XM_046677852.1:73-3303	XP_046533808.1	1076
Lynx rufus	bobcat	NW_025814832.1:360159-423226	chr Un	XM_047080588.1	3747	XM_047080588.1:28-3516	XP_046936544.1	1162
Sciurus carolinensis	gray squirrel	NC_062215.1:57233747-57287287	chr 3	XM_047543281.1	4184	XM_047543281.1:401-3904	XP_047399237.1	1167
Sciurus carolinensis	gray squirrel	NC_062215.1:57233747-57287287	chr 3	XM_047543282.1	3705	XM_047543282.1:243-3425	XP_047399238.1	1060
Lutra lutra	Eurasian river otter	NC_062293.1:47673030-47743442	chr 16	XM_047706676.1	3790	XM_047706676.1:81-3578	XP_047562632.1	1165
Lutra lutra	Eurasian river otter	NC_062293.1:47673030-47743442	chr 16	XM_047706678.1	3676	XM_047706678.1:81-3464	XP_047562634.1	1127
Lutra lutra	Eurasian river otter	NC_062293.1:47673030-47743442	chr 16	XM_047706677.1	4299	XM_047706677.1:593-4087	XP_047562633.1	1164
Phacochoerus africanus	Common warthog	NC_062557.1:49163504-49228748	chr 14	XM_047757532.1	3943	XM_047757532.1:178-3690	XP_047613488.1	1170
Phacochoerus africanus	Common warthog	NC_062557.1:49163504-49228748	chr 14	XM_047757533.1	3785	XM_047757533.1:134-3532	XP_047613489.1	1132
Prionailurus viverrinus	fishing cat	NC_062574.1:13196494-13268979	chr E1	XM_047832069.1	4229	XM_047832069.1:465-3998	XP_047688025.1	1177
Prionailurus viverrinus	fishing cat	NC_062574.1:13196494-13268979	chr E1	XM_047832070.1	3757	XM_047832070.1:38-3526	XP_047688026.1	1162
Perognathus longimembris pacificus	Pacific pocket mouse	NC_063177.1:10652350-10716441	chr 17	XM_048366257.1	3813	XM_048366257.1:63-3605	XP_048222214.1	1180
Myodes glareolus	Bank vole	NW_025965258.1:14138411-14195971	chr Un	XM_048448702.1	3770	XM_048448702.1:85-3585	XP_048304659.1	1166
Sphaerodactylus townsendi		NC_059440.1:6646097-6719945	chr LG16	XM_048519379.1	4021	XM_048519379.1:1-3840	XP_048375336.1	1279
Suncus etruscus	white-toothed pygmy shrew	NC_064848.1:157024821-157090421	chr 1	XM_049787521.1	3728	XM_049787521.1:1-3561	XP_049643478.1	1186
Accipiter gentilis	Northern goshawk	NC_064885.1:4900564-4939722	chr 6	XM_049803015.1	8105	XM_049803015.1:977-5242	XP_049658972.1	1421
Accipiter gentilis	Northern goshawk	NC_064885.1:4900564-4939722	chr 6	XM_049803014.1	8320	XM_049803014.1:977-5242	XP_049658971.1	1421
Accipiter gentilis	Northern goshawk	NC_064885.1:4900564-4939722	chr 6	XM_049803017.1	4986	XM_049803017.1:977-4816	XP_049658974.1	1279
Accipiter gentilis	Northern goshawk	NC_064885.1:4900564-4939722	chr 6	XM_049803016.1	4887	XM_049803016.1:977-4819	XP_049658973.1	1280
Accipiter gentilis	Northern goshawk	NC_064885.1:4900564-4939722	chr 6	XM_049803018.1	4726	XM_049803018.1:977-4630	XP_049658975.1	1217
Elephas maximus indicus		NC_064837.1:17400641-17469176	chr 19	XM_049858693.1	3746	XM_049858693.1:44-3586	XP_049714650.1	1180
Elephas maximus indicus		NC_064837.1:17400641-17469176	chr 19	XM_049858694.1	3148	XM_049858694.1:44-3136	XP_049714651.1	1030
Elephas maximus indicus		NC_064837.1:17400641-17469176	chr 19	XM_049858695.1	3124	XM_049858695.1:94-2964	XP_049714652.1	956
Microtus fortis	reed vole	NW_026068017.1:598602-655928	chr Un	XM_050162821.1	3604	XM_050162821.1:26-3430	XP_050018778.1	1134
Microtus fortis	reed vole	NW_026068017.1:598602-655928	chr Un	XM_050162819.1	3700	XM_050162819.1:26-3526	XP_050018776.1	1166
Macaca thibetana thibetana		NC_065593.1:17575538-17665531	chr 16	XM_050765881.1	6782	XM_050765881.1:2956-6567	XP_050621838.1	1203
Gymnogyps californianus	California condor	NC_059490.1:8293523-8325812	chr 20	XM_050909207.1	6072	XM_050909207.1:1-4131	XP_050765164.1	1376
Gopherus flavomarginatus	Mexican gopher tortoise	NC_066635.1:21975500-22029470	chr 19	XM_050929667.1	4568	XM_050929667.1:54-4187	XP_050785624.1	1377
Gopherus flavomarginatus	Mexican gopher tortoise	NC_066635.1:21975500-22029470	chr 19	XM_050929668.1	4469	XM_050929668.1:54-4088	XP_050785625.1	1344
Gopherus flavomarginatus	Mexican gopher tortoise	NC_066635.1:21975500-22029470	chr 19	XM_050929666.1	4571	XM_050929666.1:54-4190	XP_050785623.1	1378
Acomys russatus	golden spiny mouse	NC_067152.1:569397-631180	chr 16	XM_051157907.1	3652	XM_051157907.1:118-3630	XP_051013864.1	1170
Phodopus roborovskii	desert hamster	NW_026126407.1:8769258-8826830	chr Un	XM_051180060.1	3694	XM_051180060.1:43-3558	XP_051036017.1	1171
Antechinus flavipes	yellow-footed antechinus	NC_067400.1:1270136-1311665	chr 3	XM_051991505.1	4678	XM_051991505.1:193-3603	XP_051847465.1	1136
Antechinus flavipes	yellow-footed antechinus	NC_067400.1:1270136-1311665	chr 3	XM_051991504.1	4772	XM_051991504.1:191-3697	XP_051847464.1	1168
Apodemus sylvaticus	European woodmouse	NC_067481.1:51275679-51339153	chr 10	XM_052194041.1	6353	XM_052194041.1:2907-6203	XP_052050001.1	1098
Apodemus sylvaticus	European woodmouse	NC_067481.1:51275679-51339153	chr 10	XM_052194040.1	3720	XM_052194040.1:55-3570	XP_052050000.1	1171
Budorcas taxicolor	takin	NC_068928.1:24262396-24300280	chr 19	XM_052657247.1	5310	XM_052657247.1:1-3525	XP_052513207.1	1174
Peromyscus californicus insignis		NW_026294551.1:49520051-49570605	chr Un	XM_052758607.1	4665	XM_052758607.1:1007-4480	XP_052614567.1	1157
Harpia harpyja	harpy eagle	NC_068951.1:4961898-4999373	chr 12	XM_052803077.1	6179	XM_052803077.1:92-4207	XP_052659037.1	1371
Harpia harpyja	harpy eagle	NC_068951.1:4961898-4999373	chr 12	XM_052803076.1	8125	XM_052803076.1:1915-6153	XP_052659036.1	1412
Harpia harpyja	harpy eagle	NC_068951.1:4961898-4999373	chr 12	XM_052803080.1	5496	XM_052803080.1:69-3524	XP_052659040.1	1151
Harpia harpyja	harpy eagle	NC_068951.1:4961898-4999373	chr 12	XM_052803078.1	5799	XM_052803078.1:1915-5727	XP_052659038.1	1270
Harpia harpyja	harpy eagle	NC_068951.1:4961898-4999373	chr 12	XM_052803079.1	5637	XM_052803079.1:1915-5541	XP_052659039.1	1208
Podarcis raffonei	Aeolian wall lizard	NC_070616.1:2980224-3034082	chr 15	XR_008327710.1	3416			
Podarcis raffonei	Aeolian wall lizard	NC_070616.1:2980224-3034082	chr 15	XM_053366635.1	3752	XM_053366635.1:82-3594	XP_053222610.1	1170
Spea bombifrons	plains spadefoot toad	NC_071088.1:18731463-18761104	chr 2	XM_053456988.1	3631	XM_053456988.1:33-3548	XP_053312963.1	1171
Nycticebus coucang	slow loris	NC_069797.1:26006490-26070980	chr 18	XM_053570724.1	8717	XM_053570724.1:40-4287	XP_053426699.1	1415
Bombina bombina	fire-bellied toad	NC_069501.1:207112810-207370957	chr 3	XM_053705219.1	5474	XM_053705219.1:1-2898	XP_053561194.1	965
Malaclemys terrapin pileata		NC_071522.1:3629343-3689701	chr 18	XM_054008711.1	9096	XM_054008711.1:48-4196	XP_053864686.1	1382
Rissa tridactyla	black-legged kittiwake	NC_071472.1:51921829-51943191	chr 7	XM_054208257.1	2220	XM_054208257.1:1-1827	XP_054064232.1	608
Pongo pygmaeus	Bornean orangutan	NC_072392.2:3508376-3591881	chr 19	XM_063655743.1	3726	XM_063655743.1:40-3507	XP_063511813.1	1155
Pongo pygmaeus	Bornean orangutan	NC_072392.2:3508376-3591881	chr 19	XM_063655744.1	3651	XM_063655744.1:40-3432	XP_063511814.1	1130
Pongo pygmaeus	Bornean orangutan	NC_072392.2:3508376-3591881	chr 19	XM_054459282.2	3804	XM_054459282.2:40-3585	XP_054315257.2	1181
Pteronotus mesoamericanus		NW_026555133.1:3930858-3988500	chr Un	XM_054575675.1	3796	XM_054575675.1:1-3618	XP_054431650.1	1205
Grus americana	Whooping crane	NC_072870.1:4056632-4080995	chr 19	XM_054847828.1	5704	XM_054847828.1:2306-5497	XP_054703803.1	1063
Eublepharis macularius		NC_072806.1:32088241-32145722	chr 17	XM_055001858.1	3510	XM_055001858.1:1-3360	XP_054857833.1	1119
Symphalangus syndactylus	siamang	NC_072442.2:64561036-64635040	chr 20	XM_063628408.1	3948	XM_063628408.1:1-3729	XP_063484478.1	1242
Nyctereutes procyonoides	raccoon dog	NW_026575020.1:29497916-29561875	chr Un	XM_055307104.1	3572	XM_055307104.1:1-3510	XP_055163079.1	1169
Moschus berezovskii	Chinese forest musk deer	NW_026572039.1:21329737-21392346	chr Un	XM_055403837.1	5445	XM_055403837.1:65-3580	XP_055259812.1	1171
Bubalus kerabau	carabao	NC_073627.1:39928403-39956405	chr 4	XM_055576882.1	2501	XM_055576882.1:16-2262	XP_055432857.1	748
Psammomys obesus	fat sand rat	NW_026596353.1:216539-276111	chr Un	XM_055597303.1	3738	XM_055597303.1:13-3546	XP_055453278.1	1177
Sorex fumeus	smoky shrew	NW_026606120.1:43650785-43699213	chr Un	XM_056126497.1	3724	XM_056126497.1:1-3570	XP_055982472.1	1189
Hyla sarda		NC_079190.1:437381208-437560828	chr 2	XR_008889048.1	4068			
Hyla sarda		NC_079190.1:437381208-437560828	chr 2	XR_008889049.1	3671			
Hyla sarda		NC_079190.1:437381208-437560828	chr 2	XM_056559190.1	5749	XM_056559190.1:30-3575	XP_056415165.1	1181
Hyla sarda		NC_079190.1:437381208-437560828	chr 2	XM_056559189.1	5921	XM_056559189.1:16-3747	XP_056415164.1	1243
Hyla sarda		NC_079190.1:437381208-437560828	chr 2	XM_056559191.1	5719	XM_056559191.1:33-3545	XP_056415166.1	1170
Hyla sarda		NC_079190.1:437381208-437560828	chr 2	XM_056559194.1	5594	XM_056559194.1:124-3420	XP_056415169.1	1098
Hyla sarda		NC_079190.1:437381208-437560828	chr 2	XM_056559193.1	5704	XM_056559193.1:234-3530	XP_056415168.1	1098
Hyla sarda		NC_079190.1:437381208-437560828	chr 2	XM_056559192.1	5684	XM_056559192.1:37-3510	XP_056415167.1	1157
Hippopotamus amphibius kiboko		NC_080202.1:11622806-11682296	chr 17	XM_057714258.1	5636	XM_057714258.1:58-3558	XP_057570241.1	1166
Chionomys nivalis	European snow vole	NC_080092.1:54403477-54449004	chr 7	XM_057773940.1	3707	XM_057773940.1:1-3585	XP_057629923.1	1194
Diceros bicornis minor		NC_080757.1:13977815-14041142	chr 18	XM_058560043.1	7038	XM_058560043.1:789-4289	XP_058416026.1	1166
Neofelis nebulosa	Clouded leopard	NC_080797.1:65826803-65899234	chr 16	XM_058705228.1	3789	XM_058705228.1:62-3553	XP_058561211.1	1163
Neofelis nebulosa	Clouded leopard	NC_080797.1:65826803-65899234	chr 16	XM_058705229.1	3557	XM_058705229.1:109-3321	XP_058561212.1	1070
Kogia breviceps	pygmy sperm whale	NC_081328.1:11204617-11252466	chr 19	XM_059046663.1	5737	XM_059046663.1:1795-5142	XP_058902646.1	1115
Kogia breviceps	pygmy sperm whale	NC_081328.1:11204617-11252466	chr 19	XM_059046662.1	5847	XM_059046662.1:1795-5253	XP_058902645.1	1152
Kogia breviceps	pygmy sperm whale	NC_081328.1:11204617-11252466	chr 19	XM_059046664.1	4664	XM_059046664.1:1795-4542	XP_058902647.1	915
Mustela lutreola	European mink	NC_081304.1:50752011-50819825	chr 15	XR_009348234.1	7724			
Mustela lutreola	European mink	NC_081304.1:50752011-50819825	chr 15	XM_059150092.1	7179	XM_059150092.1:3462-6965	XP_059006075.1	1167
Peromyscus eremicus	cactus mouse	NC_081423.1:56619715-56669147	chr 8a	XM_059270667.1	3671	XM_059270667.1:1-3486	XP_059126650.1	1161
Mustela nigripes	black-footed ferret	NC_081572.1:49714017-49777972	chr 16	XM_059378507.1	4205	XM_059378507.1:496-3999	XP_059234490.1	1167
Myotis daubentonii	Daubenton's bat	NC_081855.1:20832866-20895560	chr 16	XM_059669089.1	4970	XM_059669089.1:284-3862	XP_059525072.1	1192
Balaenoptera ricei	Rice's whale	NC_082658.1:51998436-52054958	chr 20	XM_059906430.1	3800	XM_059906430.1:1-3573	XP_059762413.1	1190
Delphinus delphis	saddleback dolphin	NC_082701.1:47938529-47984020	chr 19	XM_059996643.1	3722	XM_059996643.1:1-3501	XP_059852626.1	1166
Mesoplodon densirostris	Blainville's beaked whale	NC_082678.1:46693919-46750615	chr 18	XM_060082800.1	3837	XM_060082800.1:1-3570	XP_059938783.1	1189
Lagenorhynchus albirostris	white-beaked dolphin	NC_083114.1:11903460-11975046	chr 20	XM_060133668.1	6606	XM_060133668.1:67-3588	XP_059989651.1	1173
Panthera onca	jaguar	NC_083302.1:43524163-43596831	chr 8	XM_060646982.1	3824	XM_060646982.1:97-3588	XP_060502965.1	1163
Dama dama	fallow deer	NC_083685.1:94459269-94519770	chr 5	XM_061143136.1	4394	XM_061143136.1:327-3836	XP_060999119.1	1169
Eubalaena glacialis	North Atlantic right whale	NC_083734.1:12970620-13025295	chr 19	XM_061176868.1	3741	XM_061176868.1:1-3516	XP_061032851.1	1171
Neopsephotus bourkii	Bourke's parrot	NW_026901640.1:3799850-3830012	chr Un	XM_061363562.1	5840	XM_061363562.1:1118-5347	XP_061219546.1	1409
Neopsephotus bourkii	Bourke's parrot	NW_026901640.1:3799850-3830012	chr Un	XM_061363563.1	4846	XM_061363563.1:1118-4750	XP_061219547.1	1210
Neopsephotus bourkii	Bourke's parrot	NW_026901640.1:3799850-3830012	chr Un	XM_061363565.1	4760	XM_061363565.1:1118-4663	XP_061219549.1	1181
Bos javanicus	banteng	NC_083886.1:25777374-25841165	chr 19	XM_061390719.1	7152	XM_061390719.1:344-3859	XP_061246703.1	1171
Bos javanicus	banteng	NC_083886.1:25777374-25841165	chr 19	XM_061390718.1	7025	XM_061390718.1:328-3732	XP_061246702.1	1134
Bos javanicus	banteng	NC_083886.1:25777374-25841165	chr 19	XM_061390717.1	7037	XM_061390717.1:325-3744	XP_061246701.1	1139
Pezoporus flaviventris		NW_026892611.1:3822243-3855032	chr Un	XM_061470249.1	4925	XM_061470249.1:1-4386	XP_061326233.1	1461
Rhineura floridana		NC_084500.1:17737923-17793346	chr 21	XM_061604767.1	3916	XM_061604767.1:78-3434	XP_061460751.1	1118
Rhineura floridana		NC_084500.1:17737923-17793346	chr 21	XM_061604766.1	4138	XM_061604766.1:78-3656	XP_061460750.1	1192
Lepus europaeus	European hare	NC_084844.1:48397018-48448139	chr 18	XM_062175104.1	4724	XM_062175104.1:1-3465	XP_062031088.1	1154
Rhea pennata		NC_084682.1:4561225-4592353	chr 20	XM_062592812.1	5470	XM_062592812.1:1-4341	XP_062448796.1	1446
Pezoporus occidentalis	night parrot	NW_026915853.1:21667-54729	chr Un	XM_062637300.1	7952	XM_062637300.1:3166-7398	XP_062493284.1	1410
Pezoporus occidentalis	night parrot	NW_026915853.1:21667-54729	chr Un	XM_062637301.1	7377	XM_062637301.1:3166-7065	XP_062493285.1	1299
Pezoporus occidentalis	night parrot	NW_026915853.1:21667-54729	chr Un	XM_062637303.1	6938	XM_062637303.1:3166-6801	XP_062493287.1	1211
Pezoporus occidentalis	night parrot	NW_026915853.1:21667-54729	chr Un	XM_062637304.1	6810	XM_062637304.1:3166-6714	XP_062493288.1	1182
Pezoporus occidentalis	night parrot	NW_026915853.1:21667-54729	chr Un	XM_062637302.1	5127	XM_062637302.1:791-4573	XP_062493286.1	1260
Cynocephalus volans	Philippine flying lemur	NC_084469.1:31030967-31079100	chr 10	XM_063109823.1	3736	XM_063109823.1:1-3603	XP_062965893.1	1200
Elgaria multicarinata webbii		NC_086192.1:2909980-2946937	chr 22	XM_063146784.1	4160	XM_063146784.1:1-4137	XP_063002854.1	1378
Chroicocephalus ridibundus	black-headed gull	NC_086290.1:54035985-54038899	chr 7	XM_063342367.1	627	XM_063342367.1:283-567	XP_063198437.1	94
Pelobates fuscus	common spadefoot toad	NC_086317.1:93164048-93276752	chr 1	XM_063444344.1	4042	XM_063444344.1:159-3647	XP_063300414.1	1162
Pseudophryne corroboree	corroboree frog	NC_086445.1:857964432-858308374	chr 2	XM_063955833.1	6090	XM_063955833.1:212-3529	XP_063811903.1	1105
Pseudophryne corroboree	corroboree frog	NC_086445.1:857964432-858308374	chr 2	XM_063955834.1	6059	XM_063955834.1:211-3498	XP_063811904.1	1095
Pseudophryne corroboree	corroboree frog	NC_086445.1:857964432-858308374	chr 2	XM_063955832.1	6185	XM_063955832.1:211-3624	XP_063811902.1	1137
Mus musculus	house mouse	NC_000077.7:72981396-73038272	chr 11	NR_189133.1	873			
Mus musculus	house mouse	NC_000077.7:72981396-73038272	chr 11	NR_189134.1	762			
Mus musculus	house mouse	NC_000077.7:72981396-73038272	chr 11	NR_189135.1	777			
Mus musculus	house mouse	NC_000077.7:72981396-73038272	chr 11	NR_189136.1	666			
Mus musculus	house mouse	NC_000077.7:72981396-73038272	chr 11	NM_008399.4	3858	NM_008399.4:49-3552	NP_032425.2	1167
Mus musculus	house mouse	NC_000077.7:72981396-73038272	chr 11	NM_001361245.2	3855	NM_001361245.2:49-3549	NP_001348174.1	1166
Homo sapiens	human	NC_000017.11:3714628-3801188;NC_060941.1:3603214-3689865	chr 17	XM_011523828.4	3626	XM_011523828.4:45-3407	XP_011522130.2	1120
Homo sapiens	human	NC_000017.11:3714628-3801188;NC_060941.1:3603214-3689865	chr 17	XM_011523827.4	3704	XM_011523827.4:45-3485	XP_011522129.2	1146
Homo sapiens	human	NC_000017.11:3714628-3801188;NC_060941.1:3603214-3689865	chr 17	XM_047435923.1	3725	XM_047435923.1:45-3506	XP_047291879.1	1153
Homo sapiens	human	NC_000017.11:3714628-3801188;NC_060941.1:3603214-3689865	chr 17	NM_002208.5	3803	NM_002208.5:45-3584	NP_002199.3	1179
Homo sapiens	human	NC_000017.11:3714628-3801188;NC_060941.1:3603214-3689865	chr 17	XM_017024586.2	3788	XM_017024586.2:45-3569	XP_016880075.2	1174
Homo sapiens	human	NC_000017.11:3714628-3801188;NC_060941.1:3603214-3689865	chr 17	XM_011523825.4	3770	XM_011523825.4:45-3551	XP_011522127.2	1168
Homo sapiens	human	NC_000017.11:3714628-3801188;NC_060941.1:3603214-3689865	chr 17	XM_024450740.2	3866	XM_024450740.2:45-3647	XP_024306508.2	1200
Homo sapiens	human	NC_000017.11:3714628-3801188;NC_060941.1:3603214-3689865	chr 17	XM_047435924.1	2625	XM_047435924.1:45-2540	XP_047291880.1	831
Homo sapiens	human	NC_000017.11:3714628-3801188;NC_060941.1:3603214-3689865	chr 17	XM_054315965.1	3626	XM_054315965.1:45-3407	XP_054171940.1	1120
Homo sapiens	human	NC_000017.11:3714628-3801188;NC_060941.1:3603214-3689865	chr 17	XM_054315964.1	3704	XM_054315964.1:45-3485	XP_054171939.1	1146
Homo sapiens	human	NC_000017.11:3714628-3801188;NC_060941.1:3603214-3689865	chr 17	XM_054315963.1	3725	XM_054315963.1:45-3506	XP_054171938.1	1153
Homo sapiens	human	NC_000017.11:3714628-3801188;NC_060941.1:3603214-3689865	chr 17	XM_054315961.1	3788	XM_054315961.1:45-3569	XP_054171936.1	1174
